depth,label,mse,n_test,n_train,normalized_mse,r2,target_dim,target_variance
1,qpos,0.03660734086472651,45,105,0.167697052502382,0.832302947497618,35,0.2182944799474429
2,qpos,0.03659977931542526,45,105,0.16766241328794532,0.8323375867120547,35,0.2182944799474429
3,qpos,0.03660281829499262,45,105,0.16767633475571717,0.8323236652442828,35,0.2182944799474429
4,qpos,0.036602451264959944,45,105,0.1676746534029282,0.8323253465970718,35,0.2182944799474429
1,observation,0.0,45,105,0.0,1.0,46,0.0
2,observation,0.0,45,105,0.0,1.0,46,0.0
3,observation,0.0,45,105,0.0,1.0,46,0.0
4,observation,0.0,45,105,0.0,1.0,46,0.0
1,block_pos,0.0013751061514988222,45,105,0.09783618003714606,0.9021638199628539,9,0.014055190533570783
2,block_pos,0.0013783344415662943,45,105,0.09806586671835905,0.901934133281641,9,0.014055190533570783
3,block_pos,0.0013795256780302822,45,105,0.09815062092081135,0.9018493790791886,9,0.014055190533570783
4,block_pos,0.0013797782511406976,45,105,0.09816859101590271,0.9018314089840973,9,0.014055190533570783
1,block_pairwise_dist,0.0021958611500692863,45,105,0.1054885826744157,0.8945114173255843,3,0.020816102505108847
2,block_pairwise_dist,0.0021995128483950316,45,105,0.10566400928585024,0.8943359907141497,3,0.020816102505108847
3,block_pairwise_dist,0.0022028591564308207,45,105,0.10582476502938906,0.8941752349706109,3,0.020816102505108847
4,block_pairwise_dist,0.002203757849294505,45,105,0.10586793799433117,0.8941320620056689,3,0.020816102505108847
1,block_quat,0.007884145935334931,45,105,0.047849021181094666,0.9521509788189053,12,0.1647713106919309
2,block_quat,0.007948176345989585,45,105,0.04823762287629129,0.9517623771237087,12,0.1647713106919309
3,block_quat,0.007954681883287249,45,105,0.048277105097257696,0.9517228949027423,12,0.1647713106919309
4,block_quat,0.007955797790240656,45,105,0.048283877556302424,0.9517161224436976,12,0.1647713106919309
1,goal_relative_block_pos,0.0,45,105,0.0,1.0,9,0.0
2,goal_relative_block_pos,0.0,45,105,0.0,1.0,9,0.0
3,goal_relative_block_pos,0.0,45,105,0.0,1.0,9,0.0
4,goal_relative_block_pos,0.0,45,105,0.0,1.0,9,0.0
