category,depth,dim,entropy_rank,mean_feature_std,n,participation_rank,top1_var_frac,top5_var_frac,total_variance
all,1,192,71.33636705167258,0.9864301363520026,450,60.079232708246465,0.03365289828064428,0.14532027265765116,188.29706436800637
depth_helped_k1_fail_k4_success,1,192,5.40174854096569,0.8209651824813777,12,4.399420747685371,0.31228794624973727,0.9247203932439093,157.00501831797223
depth_hurt_k1_success_k4_fail,1,192,6.639355928969518,0.8585526018489693,15,5.472862729946402,0.25876413163348516,0.8861317691693713,165.63175476159202
easy_both_success,1,192,65.91142946869434,0.9861563380934043,336,54.44326871085343,0.03693479810892788,0.16139016971736536,188.62776841065426
hard_both_fail,1,192,32.32332222984979,0.970723504178121,87,25.505985475562223,0.07735961340679975,0.31329072476985936,185.70359504569038
all,2,192,71.35211039393724,0.9875464332995915,450,60.09814013585157,0.03362096915563455,0.14524092077636913,188.7220623460729
depth_helped_k1_fail_k4_success,2,192,5.409384629491255,0.8223982468643127,12,4.4071975942077355,0.311957233630834,0.924381563919995,157.53649921393202
depth_hurt_k1_success_k4_fail,2,192,6.650076849561183,0.86035147802581,15,5.483415347505988,0.2578460326706747,0.8853550930699897,166.31288772264924
easy_both_success,2,192,65.92741322226719,0.9871219700123198,336,54.45971048448146,0.03691124079410557,0.16133845283991355,188.99594713796617
hard_both_fail,2,192,32.35386473496884,0.9722171862035177,87,25.532695466453955,0.07727529956709749,0.312927561578157,186.26921703085873
all,3,192,71.35396404689807,0.9876781037640235,450,60.099925607887364,0.03361761355923558,0.14523172886348146,188.77218638952004
depth_helped_k1_fail_k4_success,3,192,5.409964919608388,0.8225239573802866,12,4.407747141447564,0.3119465456915492,0.9243490569874232,157.58329015848523
depth_hurt_k1_success_k4_fail,3,192,6.650508926524626,0.8605536455813713,15,5.484158817632499,0.25775855678144816,0.8853094815491938,166.39165762729886
easy_both_success,3,192,65.92919655202348,0.9872379985002541,336,54.46108389349793,0.03690879021421228,0.16133143979545356,189.04015151579824
hard_both_fail,3,192,32.358104206719794,0.9723850025826891,87,25.536131839716212,0.0772653312699017,0.31288145476750195,186.33310485583473
all,4,192,71.35426007910937,0.9876946539169382,450,60.1000956530867,0.03361744378329989,0.14523038314745532,188.77846725353038
depth_helped_k1_fail_k4_success,4,192,5.409981943185708,0.822536654726597,12,4.407762099655187,0.3119500010192455,0.9243459288663616,157.58801302909689
depth_hurt_k1_success_k4_fail,4,192,6.65054518309686,0.860583468571899,15,5.484241637477527,0.25775026786125277,0.8853012475058198,166.40308344930267
easy_both_success,4,192,65.92959740688687,0.987253574756901,336,54.461314783217105,0.036908753221619656,0.1613303471775639,189.04606017997207
hard_both_fail,4,192,32.35840234512829,0.9724013322394822,87,25.53638704140943,0.07726424911729757,0.31287877105563383,186.3394151047352
