depth,label,mse,n_test,n_train,normalized_mse,r2,target_dim,target_variance
1,qpos,3.7631768274602178,45,105,1.1306553317243342,-0.1306553317243342,2,3.3283147585932227
2,qpos,3.7627088231155343,45,105,1.1305147187178646,-0.13051471871786458,2,3.3283147585932227
3,qpos,3.7627090715748124,45,105,1.1305147933680393,-0.13051479336803928,2,3.3283147585932227
4,qpos,3.7627090715748124,45,105,1.1305147933680393,-0.13051479336803928,2,3.3283147585932227
1,observation,16.838923360846422,45,105,7.196464328136704,-6.196464328136704,6,2.3398883942229345
2,observation,16.821214944133985,45,105,7.188896267729995,-6.188896267729995,6,2.3398883942229345
3,observation,16.8212167151953,45,105,7.188897024629904,-6.188897024629904,6,2.3398883942229345
4,observation,16.8212167151953,45,105,7.188897024629904,-6.188897024629904,6,2.3398883942229345
