action_norm_max_to_goal,action_norm_mean_to_goal,category,dataset,episode,eval_index,global_idx,goal_idx,goal_observation_dist,goal_qpos_dist,k1_success,k4_success,latent_mse_best,latent_mse_improvement_abs,latent_mse_improvement_rel,latent_mse_k1,latent_mse_k4,latent_oracle_depth_2pct,residual_max,residual_mean_k1,residual_mean_k4,seed,start_step
1.3091712035820204,0.7412349894878827,easy_both_success,reacher_dynamic_oracle,638,0,128267,128292,7.2447728677463825,0.4746665832306533,True,True,0.006269620731472969,7.757917046546936e-07,0.0001237229153048247,0.006270396523177624,0.006269620731472969,1,0.02002590522170067,0.02002590522170067,0.0,42,29
1.3581095964279315,0.7747438561641827,easy_both_success,reacher_dynamic_oracle,679,1,136513,136538,2.029410144990356,0.3245269422752846,True,True,0.011125314049422741,-9.872019290924072e-07,-8.873474871506914e-05,0.011125314049422741,0.011126301251351833,1,0.03251729905605316,0.03251729905605316,0.0,42,34
1.1904316164061506,0.7770238333368843,easy_both_success,reacher_dynamic_oracle,859,2,172735,172760,2.695742798450817,0.3514784771309338,True,True,0.014491762965917587,1.1585652828216553e-06,7.994008046807721e-05,0.014492921531200409,0.014491762965917587,1,0.10101404041051865,0.10101404041051865,0.0,42,76
1.2027145259461125,0.7054736488668445,easy_both_success,reacher_dynamic_oracle,892,3,179377,179402,5.436183120790204,0.5298003442549614,True,True,0.04344847425818443,-3.5762786865234375e-07,-8.231079846154898e-06,0.04344847425818443,0.043448831886053085,1,0.05077133700251579,0.05077133700251579,0.0,42,85
1.1982286912095985,0.8125844694952251,easy_both_success,reacher_dynamic_oracle,921,4,185182,185207,5.574129070141679,0.46476047252502684,True,True,0.07596752047538757,-3.129243850708008e-07,-4.119186542084208e-06,0.07596752047538757,0.07596783339977264,1,0.06464996933937073,0.06464996933937073,0.0,42,61
1.1582419745726698,0.7261231582167805,easy_both_success,reacher_dynamic_oracle,941,5,189273,189298,4.764575601111185,0.6305542200160927,True,True,0.004529970232397318,-2.3283064365386963e-09,-5.139783070262638e-07,0.004529970232397318,0.004529972560703754,1,0.028918925672769547,0.028918925672769547,0.0,42,132
1.3398342738243665,0.774884672397199,depth_hurt_k1_success_k4_fail,reacher_dynamic_oracle,1281,6,257500,257525,9.031608575073047,1.3600251217617982,True,False,0.05314267799258232,3.129243850708008e-06,5.888035229872912e-05,0.05314580723643303,0.05314267799258232,1,0.04618716239929199,0.04618716239929199,0.0,42,19
1.1768409041441839,0.8492475938755465,easy_both_success,reacher_dynamic_oracle,1652,7,332101,332126,5.8125150639565915,0.468258511485136,True,True,0.02767821215093136,6.202608346939087e-07,2.2409212760976516e-05,0.027678832411766052,0.02767821215093136,1,0.04155140742659569,0.04155140742659569,0.0,42,49
1.351298807831291,0.7363170434447106,easy_both_success,reacher_dynamic_oracle,1825,8,366907,366932,2.805806850948661,0.6990773836760826,True,True,0.10103295743465424,6.973743438720703e-06,6.901967572048306e-05,0.10103993117809296,0.10103295743465424,1,0.046841561794281006,0.046841561794281006,0.0,42,82
1.115612100679873,0.7126463714536654,easy_both_success,reacher_dynamic_oracle,2014,9,404927,404952,6.024135708114772,0.8646813637515204,True,True,0.033977579325437546,1.4863908290863037e-06,4.37443122791592e-05,0.03397906571626663,0.033977579325437546,1,0.06495921313762665,0.06495921313762665,0.0,42,113
1.3126273811403621,0.6592622503091734,easy_both_success,reacher_dynamic_oracle,2272,10,456735,456760,1.9207237119375036,1.050323917535338,True,True,0.018870938569307327,1.601874828338623e-07,8.488508683512919e-06,0.01887109875679016,0.018870938569307327,1,0.046013444662094116,0.046013444662094116,0.0,42,63
1.0636039937071189,0.7493559667989571,easy_both_success,reacher_dynamic_oracle,2767,11,556268,556293,3.285967880049845,0.09361792003506911,True,True,0.013427170924842358,-4.5355409383773804e-07,-3.377882603672333e-05,0.013427170924842358,0.013427624478936195,1,0.048409558832645416,0.048409558832645416,0.0,42,101
1.3576162810799461,0.6615921827538251,easy_both_success,reacher_dynamic_oracle,3545,12,712588,712613,0.8886825876519856,0.6905915050591592,True,True,0.0062769632786512375,-1.8691644072532654e-06,-0.0002977816329803318,0.0062769632786512375,0.006278832443058491,1,0.05679988116025925,0.05679988116025925,0.0,42,43
1.2293959985526257,0.7414051859813755,easy_both_success,reacher_dynamic_oracle,3707,13,745268,745293,2.2242005120237747,0.3904889556075387,True,True,0.005344235338270664,-1.0187271982431412e-05,-0.0019062169594690204,0.005344235338270664,0.005354422610253096,1,0.039569608867168427,0.039569608867168427,0.0,42,161
1.129674281519628,0.6329889059656059,easy_both_success,reacher_dynamic_oracle,4024,14,808839,808864,3.1800091846953276,0.7046967351440584,True,True,0.008054177276790142,-4.032626748085022e-07,-5.00687601743266e-05,0.008054177276790142,0.00805458053946495,1,0.049008630216121674,0.049008630216121674,0.0,42,15
1.2697263227700395,0.765040875130645,easy_both_success,reacher_dynamic_oracle,4330,15,870336,870361,5.174251099455178,0.22351638470921567,True,True,0.002841988345608115,1.2966338545084e-06,0.00045603374019265175,0.0028432849794626236,0.002841988345608115,1,0.02532160095870495,0.02532160095870495,0.0,42,6
