action_norm_max_to_goal,action_norm_mean_to_goal,category,dataset,episode,eval_index,global_idx,goal_idx,goal_observation_dist,goal_pos_dist_max,goal_pos_dist_mean,goal_pos_dist_sum,goal_qpos_dist,goal_quat_dist_max,goal_quat_dist_mean,k1_success,k4_success,latent_mse_best,latent_mse_improvement_abs,latent_mse_improvement_rel,latent_mse_k1,latent_mse_k4,latent_oracle_depth_2pct,residual_max,residual_mean_k1,residual_mean_k4,seed,start_block_pairwise_mean,start_block_pairwise_min,start_step
1.4508512480633995,0.9470930281001579,easy_both_success,cube_triple_dynamic_oracle,191,0,191630,191655,0.0,4.2146848510894035e-08,1.4048949503631345e-08,4.2146848510894035e-08,0.34937624141609563,4.898997313688406e-08,1.675221956048284e-08,True,True,0.0009643826051615179,1.5755649656057358e-06,0.0016310903010889888,0.0009659581701271236,0.0009643826051615179,1,1.4123025721346494e-05,1.4123025721346494e-05,4.070714034951073e-13,42,0.3314561261087053,0.04021269639784438,439
1.2504389930409454,0.9024771031731709,easy_both_success,cube_triple_dynamic_oracle,203,1,203944,203969,0.0,0.1155900931761634,0.03963092546953218,0.11889277640859654,0.3793475011148474,0.05834453735410896,0.032746206084329654,True,True,0.0028037994634360075,2.5848858058452606e-06,0.0009210700518451631,0.00280639436095953,0.0028038094751536846,1,3.5369252145756036e-05,3.5369252145756036e-05,9.081979959746356e-12,42,0.33744945232079937,0.05314671048963073,741
1.492413201553291,0.8467540733237628,hard_both_fail,cube_triple_dynamic_oracle,257,2,258070,258095,0.0,0.25059490047615973,0.08361214897978714,0.2508364469393614,1.2828597122770307,0.0530818042894503,0.01850803492798563,False,False,0.0009899087017402053,2.180575393140316e-06,0.0021979629527777433,0.0009920892771333456,0.0009899087017402053,1,3.6035999073646963e-06,3.6035999073646963e-06,9.195802105899098e-12,42,0.28090016856426475,0.04012215351610417,813
1.319457545449036,0.884294150567602,hard_both_fail,cube_triple_dynamic_oracle,267,3,267997,268022,0.0,0.3060884775811505,0.10204649601591982,0.3061394880477595,1.2823309984871325,0.06528728041434709,0.02186763294961713,False,False,0.0016462607309222221,-2.400483936071396e-06,-0.0014581432333216071,0.0016462607309222221,0.0016486612148582935,1,9.057842362381052e-06,9.057842362381052e-06,1.0269901248860513e-12,42,0.1521177050066109,0.04051850714977484,730
1.4491252447535352,0.9094734739039859,easy_both_success,cube_triple_dynamic_oracle,276,4,276672,276697,0.0,0.34023850185926396,0.11341287727265986,0.3402386318179796,1.168524737883468,0.24620029114855385,0.08206683720682646,True,True,0.0010180878452956676,-1.4704419299960136e-06,-0.001444317284040153,0.0010180878452956676,0.0010195582872256637,1,1.900580173241906e-05,1.900580173241906e-05,1.5174753814628517e-12,42,0.1900421675003631,0.04165925081992012,396
1.7441608970026965,1.0953126109460711,easy_both_success,cube_triple_dynamic_oracle,282,5,282797,282822,0.0,8.429369702178807e-08,4.891364724960145e-08,1.4674094174880436e-07,0.7205818020808977,4.541891371724788e-07,1.696974329046841e-07,True,True,0.0012980483006685972,-3.1046802178025246e-06,-0.002391806337982416,0.0012980483006685972,0.0013011529808863997,1,2.6407797122374177e-05,2.6407797122374177e-05,3.3375383619999033e-12,42,0.1973397715387304,0.04039002938673534,515
1.4823522838235983,0.7336848267321703,depth_helped_k1_fail_k4_success,cube_triple_dynamic_oracle,384,6,384712,384737,0.0,0.031502982625481186,0.012139313757119205,0.03641794127135761,1.200974323717689,0.14720025109665436,0.09707206525894962,False,True,0.002702969592064619,-7.98376277089119e-07,-0.00029537006048485637,0.002702969592064619,0.002703767968341708,1,1.6273064602501108e-06,1.6273064602501108e-06,2.433098861276406e-12,42,0.3829369557399984,0.07145304408411736,328
1.4474134508206187,1.2045345186455716,easy_both_success,cube_triple_dynamic_oracle,495,7,496164,496189,0.0,0.25647808353942125,0.08549269451314041,0.25647808353942125,2.1450449630556445,0.6438181739751048,0.2146060579917016,True,True,0.0058347610756754875,-4.870817065238953e-07,-8.347928815055639e-05,0.0058347610756754875,0.005835248157382011,1,6.588600626855623e-06,6.588600626855623e-06,1.720777112381583e-13,42,0.2606349947598376,0.19793363053005072,669
1.143545557067345,0.7800139952462237,easy_both_success,cube_triple_dynamic_oracle,547,8,548175,548200,0.0,0.003657162882098011,0.0012190542940326704,0.003657162882098011,1.4061540138577244,0.004692348791683102,0.0015641162638943818,True,True,0.0013600715901702642,-2.116430550813675e-07,-0.0001556117058498785,0.0013600715901702642,0.0013602832332253456,1,1.54904555529356e-05,1.54904555529356e-05,3.378569125855879e-13,42,0.18424282482156515,0.10883950542627545,628
1.3260531531282167,1.069318658465946,easy_both_success,cube_triple_dynamic_oracle,604,9,604994,605019,0.0,0.213004115789137,0.07100137255059405,0.21300411765178215,0.663729936204917,0.03903823086545821,0.013012755985493974,True,True,0.001926136203110218,-2.2910535335540771e-07,-0.00011894556519109756,0.001926136203110218,0.0019263653084635735,1,5.8012621593661606e-05,5.8012621593661606e-05,4.476821691135058e-12,42,0.17360220502054044,0.14057131567517428,390
